Minnesota,18
Denver,13
Indianapolis,12
Cincinnati,11
 Tampa Bay,11
Seattle,11
Kansas City,11
Miami,10
Chicago,10
Cleveland,9
Washington,9
San Diego,9
New Orleans,9
Oakland,8
Arizona,8
"Carolina, Houston, Baltimore",7
Buffalo,5
Pittsburgh,4
NY Giants,4
Atlanta,4
Dallas,4
Detroit,4
NY Jets,3
L.A. Rams,2
Philadelphia,1
